日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/28,1,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 无变化,角色扮演,上海米哈游网络科技股份有限公司,-
2024/3/28,2,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/28,3,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/3/28,4,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升15,卡牌,-,-
2024/3/28,5,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,-
2024/3/28,6,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/28,7,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 上升55,冒险,杭州网易雷火科技有限公司,-
2024/3/28,8,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降2,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/28,9,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 上升7,角色扮演,杭州网易雷火科技有限公司,-
2024/3/28,10,393765873,爱奇艺,QIYI,相比昨日总榜 - 下降3,娱乐,北京爱奇艺科技有限公司,-
2024/3/28,11,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降3,策略,-,-
2024/3/28,12,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 下降3,动作,杭州网易雷火科技有限公司,-
2024/3/28,13,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 下降3,商务,北京华品博睿网络技术有限公司,-
2024/3/28,14,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 下降3,音乐,广州网易计算机系统有限公司,-
2024/3/28,15,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 下降3,音乐,广州酷狗计算机科技有限公司,-
2024/3/28,16,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,动作,-,-
2024/3/28,17,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 下降4,模拟,广州灵犀互动娱乐有限公司,-
2024/3/28,18,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 下降4,模拟,在线途游(北京）科技有限公司,-
2024/3/28,19,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 下降1,摄影与录像,北京快手科技有限公司,-
2024/3/28,20,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 下降3,娱乐,优酷网络技术（北京）有限公司,-
2024/3/28,21,1458072671,剪映 ,深圳市脸萌科技有限公司,相比昨日总榜 - 下降1,摄影与录像,深圳市脸萌科技有限公司,-
2024/3/28,22,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 下降1,效率,-,-
2024/3/28,23,736536022,哔哩哔哩,bilibili,相比昨日总榜 - 下降1,娱乐,上海幻电信息科技有限公司,-
2024/3/28,24,1156439976,心悦俱乐部,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/28,25,909211092,率土之滨,网易移动游戏,相比昨日总榜 - 下降1,策略,杭州网易雷火科技有限公司,-
2024/3/28,26,6468898329,仙境传说,"Beijing Ruyi JIngxiu Network Technology Co., Ltd.",相比昨日总榜 - 下降1,角色扮演,-,-
2024/3/28,27,791532221,开心消消乐®,乐元素,相比昨日总榜 - 下降1,休闲,乐元素科技（北京）股份有限公司,-
2024/3/28,28,414478124,微信,WeChat,相比昨日总榜 - 上升1,社交,深圳市腾讯计算机系统有限公司,-
2024/3/28,29,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/3/28,30,472885640,JJ斗地主,JJWorld(Beijing) Network Technology Company Limited,相比昨日总榜 - 上升2,桌面,竞技世界（北京）网络技术有限公司,-
2024/3/28,31,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 下降4,家庭聚会,杭州网易雷火科技有限公司,-
