日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/10,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/10,2,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/3/10,3,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/10,4,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/10,5,393765873,爱奇艺,QIYI,相比昨日总榜 - 上升1,娱乐,北京爱奇艺科技有限公司,-
2024/3/10,6,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/10,7,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/10,8,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,策略,-,-
2024/3/10,9,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 上升3,音乐,广州网易计算机系统有限公司,-
2024/3/10,10,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 下降1,家庭聚会,杭州网易雷火科技有限公司,-
2024/3/10,11,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 上升2,音乐,广州酷狗计算机科技有限公司,-
2024/3/10,12,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 上升4,模拟,在线途游(北京）科技有限公司,-
2024/3/10,13,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 下降2,动作,杭州网易雷火科技有限公司,-
2024/3/10,14,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,卡牌,-,-
2024/3/10,15,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 下降5,模拟,广州灵犀互动娱乐有限公司,-
2024/3/10,16,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 上升3,娱乐,优酷网络技术（北京）有限公司,-
2024/3/10,17,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 下降2,角色扮演,杭州网易雷火科技有限公司,-
2024/3/10,18,736536022,哔哩哔哩,bilibili,相比昨日总榜 - 上升3,娱乐,上海幻电信息科技有限公司,-
2024/3/10,19,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 上升1,摄影与录像,北京快手科技有限公司,-
2024/3/10,20,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 下降2,商务,北京华品博睿网络技术有限公司,-
2024/3/10,21,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 上升3,效率,-,-
2024/3/10,22,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/10,23,1458072671,剪映 ,深圳市脸萌科技有限公司,相比昨日总榜 - 无变化,摄影与录像,深圳市脸萌科技有限公司,-
2024/3/10,24,1454663939,明日方舟,"Shanghai Hypergryph Network Technology Co., Ltd.",相比昨日总榜 - 下降7,卡牌,上海鹰角网络科技有限公司,-
2024/3/10,25,791532221,开心消消乐®,乐元素,相比昨日总榜 - 上升1,休闲,乐元素科技（北京）股份有限公司,-
2024/3/10,26,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 下降1,角色扮演,上海米哈游网络科技股份有限公司,-
2024/3/10,27,472885640,JJ斗地主,JJWorld(Beijing) Network Technology Company Limited,相比昨日总榜 - 无变化,桌面,竞技世界（北京）网络技术有限公司,-
2024/3/10,28,414478124,微信,WeChat,相比昨日总榜 - 无变化,社交,深圳市腾讯计算机系统有限公司,-
2024/3/10,29,629774477,芒果TV,快乐阳光,相比昨日总榜 - 上升3,娱乐,湖南快乐阳光互动娱乐传媒有限公司,-
2024/3/10,30,1561105019,捕鱼大咖,游酷盛世科技(北京)有限公司,相比昨日总榜 - 上升1,娱乐场,-,-
2024/3/10,31,1570790378,途游休闲捕鱼,TYSG Games,相比昨日总榜 - 下降1,娱乐场,-,-
2024/3/10,32,1160172628,夸克,广州市动悦信息技术有限公司,相比昨日总榜 - 上升3,工具,-,-
2024/3/10,33,1467190251,原神,miHoYo Games,相比昨日总榜 - 上升4,冒险,上海米哈游网络科技股份有限公司,-
2024/3/10,34,6468993345,最强祖师,"Khorgos Xingjia Network Technology Co., Ltd",相比昨日总榜 - 下降1,模拟,-,-
2024/3/10,35,432274380,知乎,"Beijing Zhizhetianxia Technology Co., Ltd.",相比昨日总榜 - 上升1,社交,北京智者天下科技有限公司,-
