日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/30,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/30,2,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 无变化,角色扮演,上海米哈游网络科技股份有限公司,-
2024/3/30,3,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/3/30,4,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/30,5,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,卡牌,-,-
2024/3/30,6,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/30,7,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/30,8,393765873,爱奇艺,QIYI,相比昨日总榜 - 无变化,娱乐,北京爱奇艺科技有限公司,-
2024/3/30,9,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 无变化,角色扮演,杭州网易雷火科技有限公司,-
2024/3/30,10,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 无变化,冒险,杭州网易雷火科技有限公司,-
2024/3/30,11,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 上升8,模拟,广州灵犀互动娱乐有限公司,-
2024/3/30,12,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 无变化,动作,杭州网易雷火科技有限公司,-
2024/3/30,13,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,策略,-,-
2024/3/30,14,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降3,动作,-,-
2024/3/30,15,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 无变化,音乐,广州网易计算机系统有限公司,-
