日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/4/1,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/1,2,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/4/1,3,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/1,4,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升2,卡牌,-,-
2024/4/1,5,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 下降1,角色扮演,上海米哈游网络科技股份有限公司,-
2024/4/1,6,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/1,7,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,音乐,深圳市腾讯计算机系统有限公司,-
2024/4/1,8,393765873,爱奇艺,QIYI,相比昨日总榜 - 无变化,娱乐,北京爱奇艺科技有限公司,-
2024/4/1,9,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 无变化,角色扮演,杭州网易雷火科技有限公司,-
2024/4/1,10,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升2,策略,-,-
2024/4/1,11,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 下降1,动作,杭州网易雷火科技有限公司,-
2024/4/1,12,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 上升7,商务,北京华品博睿网络技术有限公司,-
2024/4/1,13,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/4/1,14,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 上升1,音乐,广州网易计算机系统有限公司,-
2024/4/1,15,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 下降2,模拟,广州灵犀互动娱乐有限公司,-
2024/4/1,16,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 上升2,音乐,广州酷狗计算机科技有限公司,-
2024/4/1,17,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 无变化,模拟,在线途游(北京）科技有限公司,-
2024/4/1,18,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 下降7,冒险,杭州网易雷火科技有限公司,-
2024/4/1,19,736536022,哔哩哔哩,bilibili,相比昨日总榜 - 上升2,娱乐,上海幻电信息科技有限公司,-
2024/4/1,20,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 无变化,摄影与录像,北京快手科技有限公司,-
2024/4/1,21,1219233424,QQ炫舞,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升64,音乐,-,-
2024/4/1,22,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 无变化,娱乐,优酷网络技术（北京）有限公司,-
2024/4/1,23,1458072671,剪映 ,深圳市脸萌科技有限公司,相比昨日总榜 - 无变化,摄影与录像,深圳市脸萌科技有限公司,-
2024/4/1,24,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 下降8,家庭聚会,杭州网易雷火科技有限公司,-
2024/4/1,25,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 无变化,效率,-,-
2024/4/1,26,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/1,27,791532221,开心消消乐®,乐元素,相比昨日总榜 - 下降3,休闲,乐元素科技（北京）股份有限公司,-
2024/4/1,28,6474127167,世界之外,网易移动游戏,相比昨日总榜 - 上升6,卡牌,杭州网易雷火科技有限公司,-
2024/4/1,29,1467190251,原神,miHoYo Games,相比昨日总榜 - 上升4,冒险,上海米哈游网络科技股份有限公司,-
2024/4/1,30,414478124,微信,WeChat,相比昨日总榜 - 下降3,社交,深圳市腾讯计算机系统有限公司,-
2024/4/1,31,1559181149,晶核,"Beijing Zhaoxiguangnian Information Technology Co., Ltd",相比昨日总榜 - 上升53,角色扮演,北京朝夕光年信息技术有限公司,-
2024/4/1,32,472885640,JJ斗地主,JJWorld(Beijing) Network Technology Company Limited,相比昨日总榜 - 下降2,桌面,竞技世界（北京）网络技术有限公司,-
2024/4/1,33,1282917929,幻唐志,"Guangzhou Duoyi Network Technology Co.,Ltd.",相比昨日总榜 - 上升4,策略,广州多益网络股份有限公司,-
2024/4/1,34,6468898329,仙境传说,"Beijing Ruyi JIngxiu Network Technology Co., Ltd.",相比昨日总榜 - 下降5,角色扮演,-,-
2024/4/1,35,909211092,率土之滨,网易移动游戏,相比昨日总榜 - 上升3,策略,杭州网易雷火科技有限公司,-
2024/4/1,36,1235504705,QQ飞车,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降8,动作,-,-
2024/4/1,37,1570790378,途游休闲捕鱼,TYSG Games,相比昨日总榜 - 上升2,娱乐场,-,-
2024/4/1,38,1561105019,捕鱼大咖,游酷盛世科技(北京)有限公司,相比昨日总榜 - 下降2,娱乐场,-,-
2024/4/1,39,1156439976,心悦俱乐部,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降8,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/1,40,1160172628,夸克,广州市动悦信息技术有限公司,相比昨日总榜 - 上升1,工具,-,-
2024/4/1,41,444934666,QQ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降6,社交,深圳市腾讯计算机系统有限公司,-
2024/4/1,42,891616303,指尖四川麻将,"Shenzhen Zen-Game Technology CO.,LTD",相比昨日总榜 - 下降2,桌面,深圳市禅游科技股份有限公司,-
2024/4/1,43,446324234,欢乐斗地主,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,桌面,-,-
2024/4/1,44,629774477,芒果TV,快乐阳光,相比昨日总榜 - 下降2,娱乐,湖南快乐阳光互动娱乐传媒有限公司,-
2024/4/1,45,432274380,知乎,"Beijing Zhizhetianxia Technology Co., Ltd.",相比昨日总榜 - 下降2,社交,北京智者天下科技有限公司,-
2024/4/1,46,876336838,喜马拉雅「听书社区」电台有声小说相声评书,"Xi Da (Shanghai) Network Technology Co., Ltd.",相比昨日总榜 - 下降1,图书,上海喜马拉雅科技有限公司,-
2024/4/1,47,6459021479,航海王,雷霆游戏,相比昨日总榜 - 新进榜,卡牌,深圳雷霆信息技术有限公司,-
