日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/22,1,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升30,策略,-,-
2024/3/22,2,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/22,3,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/3/22,4,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 下降3,娱乐,北京字节跳动科技有限公司,-
2024/3/22,5,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降1,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/22,6,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 上升11,角色扮演,杭州网易雷火科技有限公司,-
2024/3/22,7,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降2,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/22,8,393765873,爱奇艺,QIYI,相比昨日总榜 - 下降1,娱乐,北京爱奇艺科技有限公司,-
2024/3/22,9,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 下降1,动作,杭州网易雷火科技有限公司,-
2024/3/22,10,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 上升26,家庭聚会,杭州网易雷火科技有限公司,-
2024/3/22,11,6474127167,世界之外,网易移动游戏,相比昨日总榜 - 下降5,卡牌,杭州网易雷火科技有限公司,-
2024/3/22,12,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 下降3,商务,北京华品博睿网络技术有限公司,-
2024/3/22,13,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 下降3,音乐,广州网易计算机系统有限公司,-
2024/3/22,14,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 下降1,音乐,广州酷狗计算机科技有限公司,-
2024/3/22,15,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降4,卡牌,-,-
2024/3/22,16,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 下降2,模拟,在线途游(北京）科技有限公司,-
2024/3/22,17,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降5,动作,-,-
