日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/4/5,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 无变化,动作,-,-
2024/4/5,2,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/4/5,3,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 下降1,娱乐,北京字节跳动科技有限公司,-
2024/4/5,4,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/4/5,5,393765873,爱奇艺,QIYI,相比昨日总榜 - 上升2,娱乐,北京爱奇艺科技有限公司,-
2024/4/5,6,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 上升3,音乐,深圳市腾讯计算机系统有限公司,-
2024/4/5,7,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,卡牌,-,-
2024/4/5,8,1467190251,原神,miHoYo Games,相比昨日总榜 - 下降2,冒险,上海米哈游网络科技股份有限公司,-
2024/4/5,9,1618911882,恋与深空,Paper Games,相比昨日总榜 - 下降4,模拟,芜湖叠纸网络科技有限公司,-
2024/4/5,10,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 上升1,角色扮演,上海米哈游网络科技股份有限公司,-
2024/4/5,11,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 下降1,冒险,杭州网易雷火科技有限公司,-
2024/4/5,12,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 上升3,动作,杭州网易雷火科技有限公司,-
2024/4/5,13,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 上升1,音乐,广州网易计算机系统有限公司,-
2024/4/5,14,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 下降1,家庭聚会,杭州网易雷火科技有限公司,-
2024/4/5,15,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升23,动作,-,-
