"日期","收入预估~iPhone"
"2023-07-27","559791"
"2023-07-26","621650"
"2023-07-25","559075"
"2023-07-24","720712"
"2023-07-23","781376"
"2023-07-22","1257748"
"2023-07-21","1650858"
"2023-07-20","1899432"
"2023-07-19","885626"
"2023-07-18","333515"
"2023-07-17","236467"
"2023-07-16","230186"
"2023-07-15","228057"
"2023-07-14","237806"
"2023-07-13","237164"
"2023-07-12","311792"
"2023-07-11","314211"
"2023-07-10","312208"
"2023-07-09","312254"
"2023-07-08","265256"
"2023-07-07","317303"
"2023-07-06","332139"
"2023-07-05","573368"
"2023-07-04","1600562"
"2023-07-03","1303166"
"2023-07-02","1254317"
"2023-07-01","1561896"
"2023-06-30","1685627"
"2023-06-29","1831663"
"2023-06-28","1560580"
"2023-06-27","468811"
"2023-06-26","312779"
"2023-06-25","302913"
"2023-06-24","319547"
"2023-06-23","275887"
"2023-06-22","241238"
"2023-06-21","303206"
"2023-06-20","374988"
"2023-06-19","358510"
"2023-06-18","375536"
"2023-06-17","394628"
"2023-06-16","326188"
"2023-06-15","551172"
"2023-06-14","733962"
"2023-06-13","1477652"
"2023-06-12","1348015"
"2023-06-11","1820869"
"2023-06-10","1843876"
"2023-06-09","1834265"
"2023-06-08","1890801"
"2023-06-07","812493"
"2023-06-06","831400"
"2023-06-05","681082"
"2023-06-04","466114"
"2023-06-03","509570"
"2023-06-02","568625"
"2023-06-01","543255"
"2023-05-31","453463"
"2023-05-30","700828"
"2023-05-29","537238"
"2023-05-28","610790"
"2023-05-27","564908"
"2023-05-26","595848"
"2023-05-25","1263683"
"2023-05-24","1287405"
"2023-05-23","1794640"
"2023-05-22","1807488"
"2023-05-21","1813233"
"2023-05-20","1590658"
"2023-05-19","1818716"
"2023-05-18","1876559"
"2023-05-17","1884820"
"2023-05-16","1793230"
"2023-05-15","1810381"
"2023-05-14","1810603"
"2023-05-13","1796765"
"2023-05-12","1821600"
"2023-05-11","1840609"
"2023-05-10","1836314"
"2023-05-09","1843883"
"2023-05-08","1845535"
"2023-05-07","1842581"
"2023-05-06","1839224"
"2023-05-05","1842690"
"2023-05-04","1846325"
"2023-05-03","1837986"
"2023-05-02","1845207"
"2023-05-01","1786601"
"2023-04-30","1835690"
"2023-04-29","1828800"
"2023-04-28","1831311"
"2023-04-27","1842916"
"2023-04-26","2933898"
"2023-04-25","0"
"2023-04-24","0"
"2023-04-23","0"
"2023-04-22","0"
"2023-04-21",""
"2023-04-20",""
"2023-04-19",""
"2023-04-18",""
"2023-04-17",""
"2023-04-16",""
"2023-04-15",""
"2023-04-14",""
"2023-04-13",""
